Effective equivalent stratospheric chlorine (EESC)
Follwing Newman et al. (2007). ACP, 7, 4537-4552. 
Eq.1 with a = 1 for each ODS, calculate Cl/Br atoms * halogen release efficiency * gas mmr. multiply Br ODS by 60, and add them all up. (n*f*rho)
Month -  EESC 5.5yr [ppt]
    1951.042    1266.275
    1951.125    1267.334
    1951.208    1268.383
    1951.292    1269.499
    1951.375    1270.550
    1951.458    1271.605
    1951.542    1272.723
    1951.625    1273.782
    1951.708    1274.829
    1951.792    1275.946
    1951.875    1277.001
    1951.958    1278.056
    1952.042    1279.255
    1952.125    1280.481
    1952.208    1281.710
    1952.292    1282.996
    1952.375    1284.226
    1952.458    1285.451
    1952.542    1286.736
    1952.625    1287.964
    1952.708    1289.191
    1952.792    1290.477
    1952.875    1291.703
    1952.958    1292.932
    1953.042    1294.286
    1953.125    1295.715
    1953.208    1297.146
    1953.292    1298.628
    1953.375    1300.058
    1953.458    1301.488
    1953.542    1302.910
    1953.625    1304.342
    1953.708    1305.770
    1953.792    1307.252
    1953.875    1308.683
    1953.958    1310.112
    1954.042    1311.604
    1954.125    1313.108
    1954.208    1314.608
    1954.292    1316.168
    1954.375    1317.674
    1954.458    1319.174
    1954.542    1320.735
    1954.625    1322.241
    1954.708    1323.743
    1954.792    1325.303
    1954.875    1326.808
    1954.958    1328.309
    1955.042    1329.938
    1955.125    1331.635
    1955.208    1333.332
    1955.292    1335.094
    1955.375    1336.791
    1955.458    1338.487
    1955.542    1340.190
    1955.625    1341.888
    1955.708    1343.583
    1955.792    1345.344
    1955.875    1347.043
    1955.958    1348.739
    1956.042    1350.549
    1956.125    1352.419
    1956.208    1354.293
    1956.292    1356.215
    1956.375    1358.086
    1956.458    1359.957
    1956.542    1361.880
    1956.625    1363.751
    1956.708    1365.620
    1956.792    1367.542
    1956.875    1369.409
    1956.958    1371.286
    1957.042    1373.294
    1957.125    1375.409
    1957.208    1377.518
    1957.292    1379.678
    1957.375    1381.783
    1957.458    1383.895
    1957.542    1385.996
    1957.625    1388.107
    1957.708    1390.219
    1957.792    1392.376
    1957.875    1394.484
    1957.958    1396.600
    1958.042    1398.716
    1958.125    1400.808
    1958.208    1402.898
    1958.292    1405.049
    1958.375    1407.137
    1958.458    1409.224
    1958.542    1411.379
    1958.625    1413.471
    1958.708    1415.560
    1958.792    1417.705
    1958.875    1419.793
    1958.958    1421.879
    1959.042    1424.100
    1959.125    1426.390
    1959.208    1428.686
    1959.292    1431.038
    1959.375    1433.333
    1959.458    1435.623
    1959.542    1437.915
    1959.625    1440.205
    1959.708    1442.501
    1959.792    1444.852
    1959.875    1447.148
    1959.958    1449.438
    1960.042    1451.832
    1960.125    1454.325
    1960.208    1456.822
    1960.292    1459.379
    1960.375    1461.878
    1960.458    1464.369
    1960.542    1466.865
    1960.625    1469.355
    1960.708    1471.855
    1960.792    1474.412
    1960.875    1476.908
    1960.958    1479.402
    1961.042    1482.030
    1961.125    1484.781
    1961.208    1487.533
    1961.292    1490.352
    1961.375    1493.102
    1961.458    1495.855
    1961.542    1498.613
    1961.625    1501.369
    1961.708    1504.121
    1961.792    1506.935
    1961.875    1509.689
    1961.958    1512.441
    1962.042    1515.368
    1962.125    1518.466
    1962.208    1521.568
    1962.292    1524.721
    1962.375    1527.819
    1962.458    1530.921
    1962.542    1534.014
