146  ALL-INDIA  RAINFALL    (1871-2016)          30 SUBDIVISIONS AREA 2880324 SQ.KM.                        
 Monthly,Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306       
 stations and 2015-2016 based on IMD Subdivisional rainfall)                                  
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
----------------------------------------------------------------------------------------------------------
1871    196   107   145   339   636  2080  2778  1794  1836   368   324    67   303  1120  8487   758 10670
1872     76    75    73   240   438  1892  2913  2452  1879   785   276   191   151   751  9136  1252 11289
1873     37   135   150   243   428  1130  2645  2142  1656   607   115    90   172   821  7573   812  9378
1874     86   158   107   169   683  2279  3069  2335  2062   932   187    40   244   959  9745  1159 12106
1875     99   114   131   232   506  1926  3079  2187  2105   566    63    71   213   869  9297   700 11078
1876      9    21   160   165   425  1233  2968  1956  1620   464    95    25    30   750  7776   584  9141
1877    291   234   240   353   674  1424  1564  1569  1483  1078   189   365   525  1267  6040  1632  9464
1878    108    91   102   361   665  1304  2940  3393  2124   798   273   140   199  1128  9761  1211 12299
1879     21   107    80    82   877  1900  2241  3221  1616   866   205    71   127  1039  8978  1142 11287
1880     39   165   151   211   496  1876  2717  1768  1840   877   528   111   204   858  8201  1516 10779
1881     13    32   331   237   531  1607  2927  2646  1433   493   347    62    45  1099  8613   902 10658
1882    100    94    90   188   596  2130  3311  1903  1685   739   596    62   194   873  9029  1397 11493
1883    179    36   189   165   621  2043  2690  1879  1881   830   282   155   215   975  8492  1267 10949
1884     71    74    82   203   383  1593  2924  2426  2385   866   270   305   145   668  9328  1441 11582
1885     96    99   136   199   528  1940  2728  2479  1327   737   321   502   195   863  8474  1560 11092
1886     49    12   222   124   711  1977  3159  2218  1390  1320   214   171    61  1057  8744  1705 11567
1887    176     6   148   209   552  1898  3013  2574  1508   879   411   130   182   909  8993  1420 11503
1888    197   136   119   259   531  1323  2743  2800  1250   382   531    72   333   908  8116   985 10342
1889    106   134    66   243   448  2035  2797  2781  1693   940   254    68   240   757  9306  1262 11565
1890     26    11   173   261   358  2279  3009  2141  1626   647   351   136    37   792  9055  1134 11017
1891    115   134   348   207   595   834  2571  2297  2222   602   173    71   249  1150  7924   846 10169
1892     53   106    56   329   541  1579  3139  3063  2135   993   126    70   159   926  9916  1189 12190
1893    224   283   467   252   946  2416  2568  2309  2256   970   642    22   506  1665  9549  1634 13354
1894    115   144   181   248   360  2168  3114  2415  2017  1388   385   137   259   789  9714  1910 12672
1895    109    77   118   376   415  1982  2567  2299  1388   793   134   119   185   908  8236  1046 10377
1896     31    61    68   170   412  2034  2845  2633   773   149   435   175    92   650  8284   759  9786
1897     92   124   208   216   435  1426  2599  2905  1981   856   130    18   215   859  8911  1004 10990
1898     21   307    28   211   375  1717  2929  2208  1992   655   393   125   328   614  8846  1173 10961
1899     58    66    74   522   526  1951  1878  1441  1020   507    41    26   124  1122  6290   574  8109
1900    153    67   103   385   406  1287  2521  2713  2372   490   104   141   220   893  8893   735 10742
1901    274   337   113   316   391  1149  2225  2590  1256   540   431    95   611   820  7220  1066  9717
1902     67    25   102   354   418  1038  2796  1972  2112   697   278   269    92   874  7918  1244 10128
1903     85    55   102   121   562  1269  2789  2593  1957  1288   434   152   140   785  8608  1874 11407
1904     59    86   203   311   686  1795  2476  1970  1262   707    90    99   145  1200  7503   896  9744
1905    128   144   286   271   476   908  2456  2052  1748   610    98    25   272  1033  7164   733  9202
1906    151   385   220   135   328  1818  2875  2418  1738   544   199   264   536   683  8849  1007 11075
1907     63   324   256   523   264  1541  2217  3014  1003   205   238   128   387  1043  7774   571  9775
1908    156   126    68   156   390  1278  3164  2955  1573   424    59    18   282   614  8970   501 10367
1909    162    57    30   605   519  2098  2961  2226  1608   369   101   244   219  1154  8893   714 10980
1910     54    42    79   211   357  2117  2377  2827  2028  1085   379     3    96   647  9349  1467 11559
1911    162    13   241   196   441  1925  1534  2110  1794   725   415   114   175   878  7363  1254  9670
1912     70   187   129   309   362  1058  3206  2579  1215   660   559    25   257   800  8058  1244 10359
1913     12   310   163   204   701  2151  2642  1881  1170   731   179   208   322  1068  7844  1118 10352
1914     12   121   147   345   634  1616  3208  2328  1828   410   206   156   133  1126  8980   772 11010
1915    183   256   390   259   631  1567  2298  2131  1810   887   545    61   439  1280  7806  1493 11017
1916     12    93    33   233   481  1991  2582  2897  2036  1473   508    29   105   747  9506  2010 12368
1917     32   346   146   233   714  2143  2466  2755  2678  1595   316    46   378  1093 10042  1957 13470
1918    106    20   145   186   880  1813  1435  2205  1055   147   472   111   126  1211  6508   730  8575
1919    374   122   115   203   512  1794  2712  2808  1531   707   590   137   496   830  8845  1434 11604
1920    207    87   255   228   454  1426  2916  1628  1220   484   303     5   294   937  7190   792  9213
1921    295    23   110   319   295  1672  2666  2362  1958   663   191    46   318   724  8658   900 10600
1922    228    47    42   169   371  1803  2910  2028  1949   518   648    92   275   582  8690  1258 10804
1923    107   263   158   207   398   936  2970  2604  1720   608   207   139   370   763  8230   954 10317
1924    141    70    54   226   406  1108  2999  2250  2269   617   628   106   211   686  8626  1351 10874
1925     43    24    94   305   806  1871  2858  2133  1174   720   434   176    67  1205  8036  1330 10637
1926    267    50   418   270   518   815  2876  3236  2099   531   109    57   317  1206  9026   697 11246
1927     79   232   163   233   441  1611  3194  2218  1507   613   611    94   311   837  8530  1317 10996
1928     99   282    86   229   409  1541  2834  1982  1320  1238   169   168   381   724  7677  1575 10357
1929    178   152    97   406   458  1828  2870  2212  1301   919   200   264   330   961  8211  1383 10885
1930     88   116   113   249   537  1731  2801  1783  1729   973   593    98   204   899  8044  1664 10811
1931     41   174    97   212   431  1148  2826  2898  1898  1282   464   245   215   740  8770  1991 11716
1932     14   160   113   222   656  1121  3136  2041  1736   703   606    79   174   991  8034  1387 10587
1933     78   202   107   359  1010  2023  2572  3103  2060   913   197   175   280  1476  9758  1285 12799
1934    147    75    88   257   332  2035  2548  2838  1713   693   341    51   222   677  9134  1085 11117
1935    147   105    64   283   205  1402  3047  2218  1768   544   108    90   252   552  8435   742  9981
1936     60   291   182   187   837  2394  2604  2189  1895   702   625   103   351  1206  9082  1430 12069
1937     10   410   119   485   470  1557  3283  1891  1688   947   214   100   420  1074  8419  1261 11174
1938    115   146   154   193   645  2388  2678  2420  1596   783   167    33   261   992  9082   983 11318
1939     73   161   179   288   287  1474  2528  2367  1525   935   333    12   234   753  7894  1280 10162
1940     75   171   341   193   673  1693  2883  2843  1112   722   455   150   246  1207  8531  1327 11311
1941    196   104    70   231   608  1643  2183  2098  1359   681   272   126   300   909  7283  1079  9570
1942    133   274    92   341   425  1738  3225  2808  1806   382   206   222   407   858  9577   810 11651
